departement,communes ,habitants,mise_en_commun_agent_municipal_commune ,agents_police,asvp,gardes_champetres,maitre_chien,chien_police,commune-brigade_cynophile
1,AMBERIEU EN BUGEY,14854,1,8,0,0,0,0,0
1,AMBRONAY,2951,0,0,1,0,0,0,0
1,ANGLEFORT,1149,0,0,0,0,0,0,0
1,ARBENT,3500,0,2,0,0,0,0,0
1,ATTIGNAT,3350,0,1,0,0,0,0,0
1,BAGE-DOMMARTIN (Fait partie de la Communauté de communes Bresse Saône),4168,0,1,0,0,0,0,0
1,BALAN,2744,0,0,1,0,0,0,0
1,BELLEY,9500,0,6,2,0,0,0,0
1,BELLIGNAT,3800,0,3,0,0,0,0,0
1,BEYNOST,4877,1,4,1,0,0,0,0
1,BIZIAT,917,0,0,0,1,0,0,0
1,BOURG EN BRESSE,41525,1,28,9,0,3,3,1
1,CESSY,5307,1,4,0,0,0,0,0
1,CEYZÉRIAT,3360,0,1,0,0,0,0,0
1,CHALAMONT,2595,0,0,0,0,0,0,0
1,CHÂTILLON-SUR-CHALARONNE,5800,0,2,1,0,0,0,0
1,CIVRIEUX,1919,0,0,0,1,0,0,0
1,COLIGNY,1241,0,1,0,0,0,0,0
1,COMMUNAUTÉ DE COMMUNES BRESSE ET SAÔNE (EPCI),16879,0,2,0,0,0,0,0
1,COMMUNAUTÉ DE COMMUNES PAYS BELLEGARDIEN (EPCI),4700,0,9,0,0,0,0,0
1,CULOZ-BEON,3494,0,2,0,0,0,0,0
1,DAGNEUX,4573,0,1,1,0,0,0,0
1,DIVONNE LES BAINS,10137,1,9,3,0,0,0,0
1,DORTAN,1992,0,1,0,0,0,0,0
1,FERNEY-VOLTAIRE,11000,0,6,2,0,0,0,0
1,GEX,14315,0,9,1,0,0,0,0
1,GROISSIAT,1230,0,0,0,1,0,0,0
1,IZERNORE,2321,0,1,0,0,0,0,0
1,JASSANS-RIOTTIER,6430,0,3,1,0,0,0,0
1,LA BOISSE,3400,0,1,0,0,0,0,0
1,LAGNIEU,7400,0,2,1,0,0,0,0
1,LOYETTES,3381,0,1,0,0,0,0,0
1,MANZIAT (Fait partie de la Communauté de communes Bresse Saône),2041,0,1,0,0,0,0,0
1,MASSIEUX,2721,0,1,0,0,0,0,0
1,MEXIMIEUX,8100,1,4,0,0,0,0,0
1,MIONNAY,2279,1,1,0,0,0,0,0
1,MIRIBEL,10225,1,4,0,0,0,0,0
1,MONTLUEL,7500,0,1,1,0,0,0,0
1,MONTMERLE SUR SAONE,3800,0,1,1,0,0,0,0
1,MONTREAL LA CLUSE,3541,0,2,0,0,0,0,0
1,MONTREVEL EN BRESSE,2578,0,0,1,0,0,0,0
1,NANTUA,3525,0,1,1,0,0,0,0
1,NEYRON,2579,1,1,0,0,0,0,0
1,NIEVROZ,1650,0,0,1,0,0,0,0
1,ORNEX,5000,0,2,1,0,0,0,0
1,OYONNAX,23000,0,20,3,0,0,0,0
1,PLATEAU D'HAUTEVILLE,4824,0,1,0,0,0,0,0
1,PONCIN,1729,0,0,0,1,0,0,0
1,PONT-D'AIN,2957,0,1,0,0,0,0,0
1,PONT DE VAUX (Fait partie de la Communauté de communes Bresse Saône),2300,0,1,1,0,0,0,0
1,PREVESSIN-MOENS,9193,0,4,0,0,0,0,0
1,REYRIEUX,5160,1,2,0,0,0,0,0
1,SAINT ANDRÉ DE CORCY,3368,0,1,0,0,0,0,0
1,SAINT-BERNARD,1541,0,0,0,1,0,0,0
1,SAINT DENIS EN BUGEY,2293,1,1,0,0,0,0,0
1,SAINT DENIS LES BOURG,6063,0,1,0,0,0,0,0
1,SAINT-DIDIER-SUR-CHALARONNE,3100,0,1,0,0,0,0,0
1,SAINT GENIS POUILLY,16000,0,4,2,0,0,0,0
1,SAINT JEAN LE VIEUX,1900,0,1,0,0,0,0,0
1,SAINT LAURENT SUR SAONE,1717,0,1,0,0,0,0,0
1,SAINT MAURICE DE BEYNOST,4300,1,4,0,0,0,0,0
1,SAINT-RAMBERT-EN-BUGEY,2200,0,0,1,0,0,0,0
1,SAINT-TRIVIER-DE-COURTES,1132,0,0,1,0,0,0,0
1,SAULT BRENAZ,1011,0,0,0,0,0,0,0
1,SEYSSEL,1023,0,0,3,0,0,0,0
1,THOIRY,6299,0,4,0,0,0,0,0
1,THOISSEY,1800,0,0,1,0,0,0,0
1,TRÉVOUX,7110,1,4,0,0,0,0,0
1,VALSERHÔNE (Fait partie de la Communauté de communes du pays bellegardien),17300,0,0,3,0,0,0,0
1,VERSONNEX,2300,1,0,1,1,0,0,0
1,VILLARS LES DOMBES,4954,0,2,0,0,0,0,0
1,VILLIEU-LOYES-MOLLON,3783,0,1,0,0,0,0,0
1,VIRIAT,6935,1,1,0,0,0,0,0
1,VONNAS,3259,0,0,1,1,0,0,0
2,Athies-sous-Laon,2700,0,0,1,0,0,0,0
2,Beautor,2707,0,0,0,1,0,0,0
2,Belleu,3759,0,1,1,0,0,0,0
2,Bohain en Vermandois,5700,0,1,0,0,0,0,0
2,Braine,2269,0,0,1,0,0,0,0
2,Charly-sur-Marne,2626,0,0,2,0,0,0,0
2,Château-Thierry,15500,0,3,1,0,0,0,0
2,Chauny,11438,0,5,2,0,0,0,0
2,Communauté d’agglomération du Saint-quentinois (EPCI),57482,0,0,0,2,0,0,0
2,Communauté de communes du pays du Vermandois (EPCI),31000,0,0,0,2,0,0,0
2,communauté de communes du Val d’Oise (EPCI),15980,0,0,0,2,0,0,0
2,Fère-en-Tardenois,2965,0,0,1,0,0,0,0
2,Flavy-le-Martel,1780,0,0,0,1,0,0,0
2,Fresnoy-le-grand,2956,0,1,0,0,0,0,0
2,Gauchy,5500,0,2,0,0,0,0,0
2,Guise,4500,0,3,1,0,0,0,0
2,Harly,1589,0,1,0,0,0,0,0
